,custAge,profession,marital,schooling,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pastEmail,responded,p_last_mon
0,"(40.8, 48.4]",technician,married,high.school,no,no,no,telephone,may,mon,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False,False
1,"(40.8, 48.4]",blue-collar,married,Basic,no,yes,no,telephone,may,fri,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False,False
2,"(25.6, 33.2]",unemployed,married,Basic,no,yes,no,cellular,may,fri,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False,False
3,"(40.8, 48.4]",blue-collar,married,Basic,no,yes,no,cellular,nov,mon,"(0.961, 4.9]","(28.8, 32.0]","(0.5, 1.0]",failure,"(-0.52, -0.040000000000000036]","(92.97080000000001, 93.2274]","(-43.629999999999995, -41.239999999999995]","(4.1628, 4.603899999999999]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False,False
4,"(40.8, 48.4]",blue-collar,married,Basic,no,yes,no,cellular,jul,mon,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False,False
5,"(33.2, 40.8]",admin.,single,university.degree,no,no,no,cellular,jul,fri,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False,False
6,"(33.2, 40.8]",admin.,married,university.degree,no,yes,no,cellular,may,wed,"(0.961, 4.9]","(28.8, 32.0]","(0.5, 1.0]",failure,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False,False
7,"(25.6, 33.2]",admin.,married,university.degree,no,yes,no,telephone,may,tue,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False,False
8,"(25.6, 33.2]",admin.,single,university.degree,no,yes,no,cellular,aug,mon,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False,False
9,"(17.924, 25.6]",student,single,high.school,no,yes,yes,cellular,may,mon,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",True,False
10,"(40.8, 48.4]",technician,married,Basic,no,yes,no,telephone,may,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False,False
11,"(25.6, 33.2]",blue-collar,married,Basic,no,yes,no,telephone,jun,fri,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(94.25380000000001, 94.5104]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False,False
12,"(25.6, 33.2]",blue-collar,married,high.school,no,yes,no,cellular,jul,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-43.629999999999995, -41.239999999999995]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False,False
13,"(33.2, 40.8]",services,married,high.school,no,yes,no,cellular,apr,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.97080000000001, 93.2274]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False,False
14,"(48.4, 56.0]",blue-collar,married,Basic,no,yes,no,cellular,aug,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False,False
15,"(33.2, 40.8]",entrepreneur,single,university.degree,no,yes,no,telephone,jun,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(93.9972, 94.25380000000001]","(-41.239999999999995, -38.849999999999994]","(0.629589, 1.0751]","(4990.05, 5016.5]","(-0.025, 2.5]",False,False
16,"(25.6, 33.2]",technician,married,professional.course,no,no,yes,cellular,aug,fri,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False,False
17,"(33.2, 40.8]",management,married,university.degree,no,no,no,cellular,nov,wed,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-0.52, -0.040000000000000036]","(92.97080000000001, 93.2274]","(-43.629999999999995, -41.239999999999995]","(3.7216999999999993, 4.1628]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False,False
18,"(25.6, 33.2]",admin.,single,university.degree,no,no,no,cellular,aug,fri,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",True,False
19,"(56.0, 63.599999999999994]",admin.,divorced,high.school,no,no,no,telephone,oct,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-0.52, -0.040000000000000036]","(93.74060000000001, 93.9972]","(-41.239999999999995, -38.849999999999994]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False,False
20,"(40.8, 48.4]",technician,married,professional.course,no,no,no,cellular,aug,mon,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.2274, 93.48400000000001]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5201.650000000001, 5228.1]","(-0.025, 2.5]",False,False
21,"(25.6, 33.2]",housemaid,married,Basic,no,yes,yes,cellular,may,fri,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-1.96, -1.48]","(92.7142, 92.97080000000001]","(-48.41, -46.019999999999996]","(1.0751, 1.5162]","(5095.85, 5122.3]","(-0.025, 2.5]",False,False
22,"(25.6, 33.2]",admin.,single,university.degree,no,yes,no,telephone,may,fri,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(0.9200000000000004, 1.4]","(93.74060000000001, 93.9972]","(-36.46, -34.07]","(4.603899999999999, 5.045]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False,False
23,"(25.6, 33.2]",blue-collar,single,high.school,no,no,no,cellular,nov,thu,"(0.961, 4.9]","(28.8, 32.0]","(-0.005, 0.5]",nonexistent,"(-0.52, -0.040000000000000036]","(92.97080000000001, 93.2274]","(-43.629999999999995, -41.239999999999995]","(3.7216999999999993, 4.1628]","(5175.200000000001, 5201.650000000001]","(-0.025, 2.5]",False,False
